Accession,First,FirstProbability,Second,SecondProbability,Third,ThirdProbability,Fourth,FourthProbability,FinalResult,accepted_name,other_names
Q8IDQ9,2,0.9953568577766418,1,0.9959937334060668,1,0.9806804060935974,2.1.1.103,1.0,2.1.1.103,phosphoethanolamine N-methyltransferase,phosphoethanolamine methyltransferase
G1SPE9,2,0.997928500175476,3,0.9950030446052552,1,0.9639726877212524,2.3.1.42,1.0,2.3.1.42,glycerone-phosphate O-acyltransferase,dihydroxyacetone phosphate acyltransferase (ambiguous)
Q4DUK4,2,0.9978614449501038,3,0.9985017776489258,1,0.9664979577064514,2.3.1.199,1.0,2.3.1.199,very-long-chain 3-oxoacyl-CoA synthase,very-long-chain 3-ketoacyl-CoA synthase; very-long-chain beta-ketoacyl-CoA synthase; condensing enzyme (ambiguous); CUT1 (gene name); CER6 (gene name); FAE1 (gene name); KCS (gene name); ELO (gene name)
Q4D5J7,2,0.9977446794509888,3,0.9985713958740234,1,0.9646481275558472,2.3.1.199,1.0,2.3.1.199,very-long-chain 3-oxoacyl-CoA synthase,very-long-chain 3-ketoacyl-CoA synthase; very-long-chain beta-ketoacyl-CoA synthase; condensing enzyme (ambiguous); CUT1 (gene name); CER6 (gene name); FAE1 (gene name); KCS (gene name); ELO (gene name)
Q8IJK4,2,0.9703273177146912,3,0.6196431517601013,1,0.9380930066108704,2.3.1.286,1.0,2.3.1.286,protein acetyllysine N-acetyltransferase,Sir2; protein lysine deacetylase; NAD+-dependent protein deacetylase
Q9ZIT6,2,0.9981961846351624,4,0.9894383549690248,1,0.9953450560569764,2.4.1.58,1.0,2.4.1.58,lipopolysaccharide glucosyltransferase I,UDP-glucose:lipopolysaccharide glucosyltransferase I; lipopolysaccharide glucosyltransferase; uridine diphosphate glucose:lipopolysaccharide glucosyltransferase I; uridine diphosphoglucose-lipopolysaccharide glucosyltransferase
Q47594,2,0.998457670211792,4,0.9651802182197572,1,0.989582061767578,2.4.1.378,1.0,2.4.1.378,"GDP-mannose:alpha-L-Rha-(1->3)-alpha-D-Gal-PP-Und alpha-1,4-mannosyltransferase",wbaU (gene name); rfbU (gene name)
Q47595,2,0.9896311163902284,4,0.993067741394043,1,0.9844827055931092,2.4.1.345,1.0,2.4.1.345,phosphatidyl-myo-inositol alpha-mannosyltransferase,mannosyltransferase PimA; PimA; guanosine diphosphomannose-phosphatidyl-inositol alpha-mannosyltransferase (ambiguous)
B5T072,2,0.9974512457847596,4,0.99604994058609,1,0.950413465499878,2.4.1.306,1.0,2.4.1.306,"UDP-GalNAc:alpha-D-GalNAc-diphosphoundecaprenol alpha-1,3-N-acetylgalactosaminyltransferase ",WbnH
Q7VNA4,2,0.999154806137085,4,0.9870022535324096,1,0.4516400694847107,2.4.1.227,1.0,2.4.1.227,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase,"MurG transferase; UDP-N-D-glucosamine:N-acetyl-alpha-D-muramyl(oyl-L-Ala-gamma-D-Glu-L-Lys-D-Ala-D-Ala)-diphosphoundecaprenol beta-1,4-N-acetylglucosaminlytransferase; UDP-N-acetyl-D-glucosamine:N-acetyl-alpha-D-muramyl(oyl-L-Ala-gamma-D-Glu-L-Lys-D-Ala-D-Ala)-diphosphoundecaprenol 4-beta-N-acetylglucosaminlytransferase"
Q8VQ46,2,0.9979956150054932,4,0.983729898929596,1,0.9571219086647034,2.4.1.308,1.0,2.4.1.308,"GDP-Fuc:beta-D-Gal-1,3-alpha-D-GalNAc-1,3-alpha-GalNAc-diphosphoundecaprenol alpha-1,2-fucosyltransferase",WbnK
P0DX62,2,0.8993886709213257,4,0.9769791960716248,99,0.583630383014679,2.4.99.25,1.0,2.4.99.25,lipopolysaccharide heptosyltransferase III,waaQ (gene name); rfaQ (gene name)
P0DX54,2,0.9989925026893616,4,0.9842574596405028,99,0.9493029713630676,2.4.99.23,1.0,2.4.99.23,lipopolysaccharide heptosyltransferase I,HepI; rfaC (gene name); WaaC; heptosyltransferase I (ambiguous)
O87333,2,0.998731791973114,4,0.977412760257721,99,0.5902152061462402,2.4.99.24,1.0,2.4.99.24,lipopolysaccharide heptosyltransferase II,HepII; rfaF (gene name); WaaF; heptosyltransferase II
Q0P9A8,2,0.913831353187561,4,0.976019561290741,99,0.5742108821868896,2.4.99.25,1.0,2.4.99.25,lipopolysaccharide heptosyltransferase III,waaQ (gene name); rfaQ (gene name)
Q9HUF5,2,0.9985499978065492,4,0.967451810836792,99,0.9208099246025084,2.4.99.23,1.0,2.4.99.23,lipopolysaccharide heptosyltransferase I,HepI; rfaC (gene name); WaaC; heptosyltransferase I (ambiguous)
P0DW71,2,0.4939626455307007,7,0.9797974228858948,0,0.6678882241249084,2.7.13.3,1.0,2.7.13.3,histidine kinase,EnvZ;  histidine kinase (ambiguous); histidine protein kinase (ambiguous); protein histidine kinase (ambiguous); protein kinase (histidine) (ambiguous); HK1; HP165; Sln1p
E7F654,2,0.9895435571670532,7,0.9996165037155152,1,0.994354486465454,2.7.1.78,1.0,2.7.1.78,polynucleotide 5'-hydroxyl-kinase,ATP:5'-dephosphopolynucleotide 5'-phosphatase; PNK; polynucleotide 5'-hydroxyl kinase (phosphorylating); 5'-hydroxyl polynucleotide kinase; 5'-hydroxyl polyribonucleotide kinase; 5'-hydroxyl RNA kinase; DNA 5'-hydroxyl kinase; DNA kinase; polynucleotide kinase; polynucleotide 5'-hydroxy-kinase
Q9W2R3,2,0.9995266199111938,7,0.9996292591094972,1,0.9883055686950684,2.7.1.68,1.0,2.7.1.68,1-phosphatidylinositol-4-phosphate 5-kinase,diphosphoinositide kinase; PIP kinase; phosphatidylinositol 4-phosphate kinase; phosphatidylinositol-4-phosphate 5-kinase; type I PIP kinase 
P0DW68,2,0.709126353263855,7,0.9825901389122008,7,0.8107104301452637,2.7.7.49,1.0,2.7.7.49,RNA-directed DNA polymerase,DNA nucleotidyltransferase (RNA-directed); reverse transcriptase; revertase; RNA-dependent deoxyribonucleate nucleotidyltransferase; RNA revertase; RNA-dependent DNA polymerase; RNA-instructed DNA polymerase; RT
A8BPK8,2,0.9978298544883728,7,0.9975343942642212,11,0.9968574047088624,2.7.11.21,1.0,2.7.11.21,polo kinase,Cdc5; Cdc5p; Plk; PLK; Plk1; Plo1; POLO kinase; polo serine-threonine kinase; polo-like kinase; polo-like kinase 1; serine/threonine-specific Drosophila kinase polo; STK21
B2RVI8,2,0.9975348711013794,8,0.99684476852417,0,0.9934908151626588,2.8.2.2,1.0,2.8.2.2,alcohol sulfotransferase,hydroxysteroid sulfotransferase; 3beta-hydroxy steroid sulfotransferase; Delta5-3beta-hydroxysteroid sulfokinase; 3-hydroxysteroid sulfotransferase; HST; 5alpha-androstenol sulfotransferase; cholesterol sulfotransferase; dehydroepiandrosterone sulfotransferase; estrogen sulfokinase; estrogen sulfotransferase; steroid alcohol sulfotransferase; steroid sulfokinase; steroid sulfotransferase; sterol sulfokinase; sterol sulfotransferase; alcohol/hydroxysteroid sulfotransferase; 3beta-hydroxysteroid sulfotransferase; 3'-phosphoadenylyl-sulfate:alcohol sulfotransferase
