Accession,First,FirstProbability,Second,SecondProbability,Third,ThirdProbability,Fourth,FourthProbability,FinalResult,accepted_name,other_names
A0A2I2F2J4,1,0.97346830368042,14,0.9554606080055236,0,0.7542492747306824,1.14.13.211,1.0,1.14.13.211,rifampicin monooxygenase,RIF-O; ROX; RIFMO; rifampicin:NAD(P)H:oxygen oxidoreductase (2'-N-hydroxyrifampicin-forming) (incorrect)
A0A2I2F2Q7,1,0.991473913192749,14,0.9884408712387084,0,0.6629083752632141,1.14.13.114,1.0,1.14.13.114,6-hydroxynicotinate 3-monooxygenase,NicC; 6HNA monooxygenase; HNA-3-monooxygenase
A0A2I2F2K8,1,0.9986259937286376,14,0.9768090844154358,0,0.7597704529762268,1.14.13.148,1.0,1.14.13.148,trimethylamine monooxygenase,flavin-containing monooxygenase 3; FMO3; tmm (gene name)
Q9LIF4,1,0.9905222058296204,14,0.996313750743866,11,0.858428955078125,1.14.11.24,1.0,1.14.11.24,2'-deoxymugineic-acid 2'-dioxygenase,IDS3
A0A9P5GH02,1,0.9949199557304382,14,0.9892632365226746,14,0.6635954976081848,1.14.14.118,1.0,1.14.14.118,tryprostatin B 6-hydroxylase,ftmC (gene name)
A0A2I2F2L0,1,0.9977612495422364,14,0.9957077503204346,14,0.7638823390007019,1.14.14.118,1.0,1.14.14.118,tryprostatin B 6-hydroxylase,ftmC (gene name)
B6H997,1,0.9950594902038574,14,0.9893145561218262,14,0.6615288257598877,1.14.14.154,1.0,1.14.14.154,sterol 14alpha-demethylase,obtusufoliol 14-demethylase; lanosterol 14-demethylase; lanosterol 14alpha-demethylase; sterol 14-demethylase; CYP51 (gene name); ERG11 (gene name)
A0A2I2F2J7,2,0.9975638389587402,1,0.991981327533722,1,0.985373079776764,2.1.1.109,1.0,2.1.1.109,demethylsterigmatocystin 6-O-methyltransferase,demethylsterigmatocystin methyltransferase; O-methyltransferase I
O23234,2,0.9980729818344116,1,0.9983723759651184,1,0.990447759628296,2.1.1.160,1.0,2.1.1.160,caffeine synthase,"dimethylxanthine methyltransferase; 3N-methyltransferase; DXMT; CCS1; S-adenosyl-L-methionine:3,7-dimethylxanthine 1-N-methyltransferase"
A0A2I2F2M2,2,0.9925701022148132,1,0.9995208978652954,1,0.9932159781455994,2.1.1.145,1.0,2.1.1.145,trans-aconitate 3-methyltransferase,
A0A2I2F2K7,2,0.9974371194839478,1,0.9971297383308412,1,0.9901939034461976,2.1.1.109,1.0,2.1.1.109,demethylsterigmatocystin 6-O-methyltransferase,demethylsterigmatocystin methyltransferase; O-methyltransferase I
Q8IDQ9,2,0.9953568577766418,1,0.9959937334060668,1,0.9806804060935974,2.1.1.103,1.0,2.1.1.103,phosphoethanolamine N-methyltransferase,phosphoethanolamine methyltransferase
A0A2I2F2N6,2,0.9791324734687804,3,0.9941120743751526,1,0.928889811038971,2.3.1.165,1.0,2.3.1.165,6-methylsalicylic-acid synthase,MSAS; 6-methylsalicylic acid synthase
Q4DHY2,2,0.9956125020980836,3,0.9973903298377992,1,0.9683305621147156,2.3.1.199,1.0,2.3.1.199,very-long-chain 3-oxoacyl-CoA synthase,very-long-chain 3-ketoacyl-CoA synthase; very-long-chain beta-ketoacyl-CoA synthase; condensing enzyme (ambiguous); CUT1 (gene name); CER6 (gene name); FAE1 (gene name); KCS (gene name); ELO (gene name)
Q4DHY3,2,0.9977218508720398,3,0.996810019016266,1,0.9689531326293944,2.3.1.199,1.0,2.3.1.199,very-long-chain 3-oxoacyl-CoA synthase,very-long-chain 3-ketoacyl-CoA synthase; very-long-chain beta-ketoacyl-CoA synthase; condensing enzyme (ambiguous); CUT1 (gene name); CER6 (gene name); FAE1 (gene name); KCS (gene name); ELO (gene name)
Q4D321,2,0.9953725934028624,3,0.9975380897521972,1,0.9639453291893004,2.3.1.199,1.0,2.3.1.199,very-long-chain 3-oxoacyl-CoA synthase,very-long-chain 3-ketoacyl-CoA synthase; very-long-chain beta-ketoacyl-CoA synthase; condensing enzyme (ambiguous); CUT1 (gene name); CER6 (gene name); FAE1 (gene name); KCS (gene name); ELO (gene name)
A0A9P5GG56,2,0.99675190448761,3,0.9958718419075012,1,0.9668311476707458,2.3.1.161,1.0,2.3.1.161,lovastatin nonaketide synthase,"LNKS; LovB; LovC; acyl-CoA:malonyl-CoA C-acyltransferase (decarboxylating, oxoacyl- and enoyl-reducing, thioester-hydrolysing)"
B6H999,2,0.9968996047973632,3,0.9968289732933044,1,0.9659996628761292,2.3.1.161,1.0,2.3.1.161,lovastatin nonaketide synthase,"LNKS; LovB; LovC; acyl-CoA:malonyl-CoA C-acyltransferase (decarboxylating, oxoacyl- and enoyl-reducing, thioester-hydrolysing)"
G1SPE9,2,0.997928500175476,3,0.9950030446052552,1,0.9639726877212524,2.3.1.42,1.0,2.3.1.42,glycerone-phosphate O-acyltransferase,dihydroxyacetone phosphate acyltransferase (ambiguous)
Q4D5J7,2,0.9977446794509888,3,0.9985713958740234,1,0.9646481275558472,2.3.1.199,1.0,2.3.1.199,very-long-chain 3-oxoacyl-CoA synthase,very-long-chain 3-ketoacyl-CoA synthase; very-long-chain beta-ketoacyl-CoA synthase; condensing enzyme (ambiguous); CUT1 (gene name); CER6 (gene name); FAE1 (gene name); KCS (gene name); ELO (gene name)
Q4DUK7,2,0.9975215792655944,3,0.997744083404541,1,0.9682615995407104,2.3.1.199,1.0,2.3.1.199,very-long-chain 3-oxoacyl-CoA synthase,very-long-chain 3-ketoacyl-CoA synthase; very-long-chain beta-ketoacyl-CoA synthase; condensing enzyme (ambiguous); CUT1 (gene name); CER6 (gene name); FAE1 (gene name); KCS (gene name); ELO (gene name)
Q57UP6,2,0.998138666152954,3,0.9984785914421082,1,0.9702492356300354,2.3.1.199,1.0,2.3.1.199,very-long-chain 3-oxoacyl-CoA synthase,very-long-chain 3-ketoacyl-CoA synthase; very-long-chain beta-ketoacyl-CoA synthase; condensing enzyme (ambiguous); CUT1 (gene name); CER6 (gene name); FAE1 (gene name); KCS (gene name); ELO (gene name)
