Accession,EC number,FEDKEA_result,CLEAN_result,ECRECer_result,DeepEC_result
A0A080WMA9,1.2.1.11,1.2.1.11,1.2.1.11,1.2.1.11,1.2.1.11
A0A095C6S0,1.4.3.3,1.4.3.3,1.4.3.3,1.4.3.3,1.4.3.3
A0A0B5JC15,3.2.1.8,3.2.1.8,3.2.1.8,3.2.1.8,3.2.1.8
A0A0E3JXD9,1.4.3.3,1.4.5.1,2.1.1.61,2.1.1.61,1.4.3.3
A0A0F7KYQ8,3.5.2.6,3.5.2.6,3.1.1.81,3.5.2.6,3.5.2.6
A0A0H2X5R2,2.4.2.12,2.4.2.12,6.3.4.21;2.4.2.12,2.4.2.12,EC number not predicted
A0A0J9X285,2.7.1.49,2.7.1.35,2.7.4.7;2.7.1.49,2.7.4.7,EC number not predicted
A0A0L1JEW4,1.14.14.154,1.14.14.154,1.14.14.154,1.14.13.70,1.14.14.154
A0A0M0ELU2,3.5.1.97;4.2.1.51,4.2.1.51,4.2.1.51,4.2.1.51,EC number not predicted
A0A0S2GKZ1,1.14.99.56,3.2.1.4,3.2.1.4;3.2.1.8,3.2.1.4,1.14.99.53
A0A0X1KHF9,2.7.9.6,2.7.9.6,2.7.3.13,2.7.9.2,EC number not predicted
A0A179UL48,1.2.1.11,1.2.1.11,1.2.1.11,1.2.1.11,1.2.1.11
A0A1D1VU85,1.15.1.1,1.15.1.1,1.15.1.1,1.15.1.1,1.15.1.1
A0A1D8PHA3,7.1.1.8,7.1.1.8,7.1.1.8,1.10.2.2,EC number not predicted
A0A1D8PJA8,3.2.1.39,3.2.1.39,3.2.1.6;3.2.1.4,3.2.1.4,4.2.2.11
A0A1D8PJX3,7.1.1.8,7.1.1.8,7.1.1.8,1.10.2.2,7.1.1.8
A0A1D8PT03,1.6.5.2,1.6.5.2,1.6.5.2,1.1.1.-,1.6.5.2
A0A261GRE4,1.14.18.1,1.14.18.1,1.14.18.1,1.14.18.1,EC number not predicted
A0A2B7ICX0,4.2.2.1,4.2.2.1,4.2.2.1,4.2.2.1,EC number not predicted
A0A2C9JXL4,2.4.1.122,2.4.1.122,2.4.1.122,2.4.1.122,EC number not predicted
