Entry,EC number,FEDKEA_result,CLEAN_result,ECRECer_result,DeepEC_result
WP_063460136,5.3.1.7,5.3.1.7,5.3.1.7,5.3.1.31,
WP_063460789,1.1.1.14,1.1.1.56,1.2.1.62,1.-.-.-,
WP_063462980,4.2.1.43,4.2.1.43,4.2.1.43,4.2.1.41,
WP_063462990,1.1.1.46;1.1.1.48,1.1.1.390,1.1.1.390,1.3.1.87,
WP_041412631,4.2.1.25,4.2.1.25,4.2.1.25;4.2.1.67,4.2.1.9,
WP_011717047,1.1.1.46,1.1.1.175,1.1.1.175,1.3.1.28,
WP_011717048,5.1.3.3,5.1.3.3,5.1.3.3,5.1.3.3,
WP_011717064,3.1.1.15,3.1.1.15,3.1.1.99,3.1.1.17,
WP_011717648,1.3.99.12,1.3.8.1,1.3.8.1,1.3.8.1,
WP_011717945,2.7.1.59,2.7.1.8,2.7.1.8,2.7.1.59,
WP_014239822,1.3.8.7,1.3.99.41,1.3.8.7;1.3.8.8,1.3.8.8,
WP_012431492,5.3.1.7,5.3.1.7,5.3.1.7,5.3.1.31,
WP_012431722,1.3.8.7,1.3.99.41,1.3.8.8;1.3.8.7,1.3.8.8,
WP_012433273,1.1.1.43,1.1.1.215,1.1.1.81;1.1.1.79,1.1.1.81,
WP_012434194,1.1.1.9,1.1.1.287,1.1.1.301,1.1.1.103,
WP_012434208,1.1.1.14,1.1.1.304,1.1.1.268;1.1.1.16,1.1.1.304,
WP_012434262,4.2.1.6,4.2.1.6,4.2.1.6,4.2.1.6,
WP_012434361,1.1.1.46;1.1.1.48,1.1.1.175,1.1.1.390;1.2.1.62;1.1.1.175,1.3.1.28,
WP_012434437,1.2.1.3,1.2.1.77,1.2.1.77,1.2.1.91,
WP_012434865,4.2.1.25,4.2.1.25,4.2.1.67;4.2.1.25,4.2.1.9,
WP_012426462,4.2.1.43,4.2.1.43,4.2.1.43,4.2.1.41,
WP_012426549,2.6.1.19,2.6.1.113,2.6.1.18,2.6.-.-,
WP_012426550,6.3.1.11,6.3.1.11,6.3.4.12;6.3.1.6;6.3.1.11;6.3.1.2,6.3.1.2,
WP_012428705,1.1.1.122;1.1.1.173,1.1.1.107,1.1.1.107,1.1.1.107,
WP_012428706,4.2.1.68;4.2.1.90,4.4.1.24,4.4.1.24,4.2.1.42,
WP_085966746,4.2.1.68;4.2.1.90,4.4.1.24,4.4.1.24,4.1.1.3,
WP_012428943,6.2.1.32,6.2.1.65,6.2.1.25,6.2.1.3,
WP_043352074,6.2.1.32,6.2.1.32,6.2.1.25,6.2.1.3,
WP_043347637,1.14.13.40,1.14.13.217,3.5.1.18,1.-.-.-,
WP_043349422,1.1.3.15,1.1.99.14,1.1.99.14,1.1.2.4,
WP_043349427,1.1.3.15,1.3.1.98,1.1.99.14,2.7.7.89,
WP_043349430,1.1.3.15,1.1.99.14,1.1.99.14,1.8.98.1,
WP_043354222,1.4.1.10,1.4.5.1,1.5.99.13,1.4.99.-,
WP_043354857,1.1.1.103,1.1.1.410,1.1.1.203,1.1.1.103,1.1.1.103
WP_012179094,2.7.1.5,2.7.1.16,2.7.1.16,2.7.1.60,3.1.3.48
WP_012179101,4.1.2.19;1.2.1.22,1.1.1.108,4.1.2.19,1.-.-.-,
WP_066580460,3.2.1.20,3.2.1.1,3.2.1.1,3.2.1.1,
WP_066581977,3.2.1.26,3.2.1.7,3.2.1.26,3.2.1.26,
WP_066578889,3.1.1.68,3.1.1.15,3.1.1.15,3.1.1.17,
WP_066578892,1.1.1.175,1.1.1.175,1.1.1.390,1.3.1.28,
WP_066578896,1.2.1.26,1.2.1.26,1.2.1.26,1.2.1.4,
WP_041645374,1.3.8.7,1.3.99.41,1.3.8.7;1.3.8.8,1.3.8.8,
WP_014576347,2.6.1.57,2.6.1.1,2.6.1.57;2.6.1.107,2.6.1.1,2.6.1.1;2.6.1.42;2.6.1.57
NP_716898,1.2.1.16,1.2.1.24,1.2.1.24,1.2.1.79,
NP_719054,2.7.1.59,2.7.1.8,2.7.1.8,2.7.1.59,
WP_014879812,1.1.1.14,1.1.1.304,1.1.1.304;1.1.1.76;1.1.1.16,1.1.1.51,
WP_014879948,1.1.1.60,1.1.1.291,1.1.1.31,1.1.-.-,
WP_014880051,3.5.3.6,3.5.3.18,3.5.3.6,3.5.3.-,
WP_014880077,5.3.1.7,5.3.1.7,5.3.1.7,5.3.1.31,
WP_014880980,2.7.1.59,2.7.1.8,2.7.1.2,2.7.1.59,
WP_014881125,1.1.3.15,1.1.99.14,1.1.99.14,1.8.98.1,
WP_014881126,1.1.3.15,1.3.1.98,1.1.99.14,2.7.11.-,
WP_014881127,1.1.3.15,1.1.99.14,1.1.99.14,6.3.3.1,
WP_014879056,3.1.2.30,3.1.2.30,3.1.2.30,2.4.2.4;2.4.2.2,
WP_014879336,4.1.2.29,4.1.2.57,4.1.2.29,4.1.2.29,
WP_014879339,1.1.1.18,1.1.1.425,1.1.1.18,1.-.-.-,
WP_014235627,5.1.99.1,5.1.3.33,5.1.99.1,5.1.99.1,
WP_063341556,1.2.1.26,1.2.1.26,1.2.1.26,1.2.1.3,
WP_007897683,6.3.1.11,6.3.1.11,6.3.1.11,6.3.1.2,
WP_063341172,1.1.1.46;1.1.1.48,1.1.1.47,1.1.1.119,1.1.1.159,
WP_063343423,1.1.1.203,1.1.1.203,1.1.1.203,1.1.1.271,
WP_063343491,4.2.1.43,4.2.1.141,2.6.1.114;3.7.1.23,4.1.1.68,
