Accession,Label,ECRECer_result,FEDKEA_result,DeepEC_result
A0A059WI14,1,0,0,0
A0A072ULZ1,1,0,0,0
A0A080WMA9,1,1,1,0
A0A095C6S0,1,1,1,1
A0A0A8IDB7,1,1,1,1
A0A0B5JC15,1,1,1,1
A0A0C1EH92,1,1,1,1
A0A0E3JXD9,1,1,1,1
A0A0F6B5X3,0,0,0,0
A0A0F6B5X4,1,1,1,1
A0A0F6B8D8,1,1,1,0
A0A0F6B8D9,0,0,0,0
A0A0F7KYQ8,1,1,1,1
A0A0G2JTY4,0,0,0,0
A0A0H2URU9,0,0,0,0
A0A0H2X5R2,1,1,1,1
A0A0H2ZQ76,1,0,1,0
A0A0J9SZQ5,0,0,0,0
A0A0J9UMG2,1,0,0,1
A0A0J9X285,1,1,1,1
A0A0K0PU92,0,0,0,0
A0A0L1JEW4,1,1,1,1
A0A0M0ELU2,1,1,1,1
A0A0R4ILB2,0,0,0,0
A0A0S2GKZ1,1,1,1,1
A0A0X1KHF9,1,1,1,1
A0A125YZH9,0,0,0,0
A0A143ZZK9,1,1,1,1
A0A179UL48,1,1,1,1
A0A1B0GR13,0,0,0,0
A0A1B7YDZ4,0,0,0,0
A0A1C8AX29,1,1,1,1
A0A1D1VU85,1,1,1,1
A0A1D5AG16,1,1,1,1
A0A1D5NSM8,0,0,0,1
A0A1D8PFP2,0,0,0,0
A0A1D8PHA3,1,0,1,0
A0A1D8PJA8,1,0,1,0
A0A1D8PJX3,1,1,1,1
A0A1D8PN96,0,0,0,1
A0A1D8PNR5,0,0,1,1
A0A1D8PS71,1,1,1,1
A0A1D8PT03,1,0,1,0
A0A1D8PTL7,0,0,0,0
A0A1L8GVF0,1,1,1,0
A0A1L8GXM0,1,1,1,0
A0A1M4XLJ3,1,1,1,1
A0A1R4LHH9,1,1,1,1
A0A1S4EWW7,0,0,0,0
A0A1S4FPC9,0,1,0,1
A0A1V0QSG0,1,1,1,1
A0A1V0QSH2,1,1,1,1
A0A261GRE4,1,1,1,1
A0A2B7ICX0,1,1,1,1
A0A2C9JXL4,1,1,1,1
A0A2H1A768,0,0,0,1
A0A2H1K3G9,1,1,1,1
A0A2I2F2I5,1,1,1,1
A0A2P2GK84,1,0,1,1
A0A2R6W0K6,1,1,1,1
A0A2R6XIK6,1,1,0,1
A0A2Z5GDY5,1,1,1,1
A0A3F2YLY8,1,1,1,1
A0A3Q0KGQ7,1,1,1,1
A0A3Q0KJ78,1,1,1,1
A0A3Q0KQY7,1,1,1,1
A0A3S5XFG0,1,1,1,1
A0A482A9N4,1,1,1,1
A0A499UB99,1,1,1,1
A0A509AM03,1,1,1,1
A0A509APT1,0,0,0,1
A0A509AST0,0,0,0,0
A0A571BEE2,0,0,0,0
A0A5K6CNB8,1,1,1,1
A0A5R8T042,1,1,1,1
A0A644F0Y1,0,0,0,0
A0A644F649,0,0,0,0
A0A644F7M7,0,0,0,0
A0A649V088,1,1,1,1
A0A6B9HEI0,1,1,1,1
A0A6C0PI29,1,1,1,1
A0A6I8TCE0,1,1,1,1
A0A6N3IN21,1,1,1,1
A0A6P7EFR0,0,0,0,0
A0A7E6FSU6,1,1,1,1
A0A7G5KET3,1,1,1,1
A0A7J6JXB6,0,0,0,1
A0A7M6UMR7,0,0,0,0
A0A7U2MSD6,1,1,1,1
A0A7U2QYM2,1,1,1,1
A0A8C0N8E3,0,0,0,0
A0A8C0NGY6,0,0,0,0
A0A8C0TYJ0,0,0,0,0
A0A8C2LVE3,1,1,1,1
A0A8H8CMW1,1,1,1,1
A0A8I3PQN6,0,0,0,0
A0A8I3QA39,0,0,0,0
A0A8I5ZN27,0,0,0,0
A0A8I6G705,0,0,0,0
A0A8I6GM68,1,1,1,1
A0A8M9PDM1,0,0,0,0
A0A8P0N4K0,0,0,0,0
A0A9E8G339,1,1,1,1
A0A9J9HGY6,1,1,1,1
A0QS56,0,0,0,1
A0R2V5,1,1,1,1
A1CWT6,0,0,0,0
A1L1L6,1,1,1,1
A1ZAC4,0,0,0,0
A1ZB29,1,1,1,1
A2I7M2,1,1,1,1
A2QC55,1,1,1,1
A2QC57,1,0,0,1
A2XE45,1,0,1,0
A2XE98,1,0,1,0
A2XE99,1,0,1,0
A2XEA0,1,0,1,0
A3KQ86,0,0,0,0
A3MTR6,1,1,1,1
A3RL54,0,0,0,0
A3SI50,1,1,1,1
A4ZFB2,0,0,0,0
A5A8G0,1,1,1,1
A5D791,1,1,1,1
A5FBJ5,1,1,1,1
A5K8B0,0,0,0,0
A5PJW8,1,1,1,1
A5U229,1,1,1,1
A6HD62,1,1,1,1
A6TGC5,1,1,1,1
A6YQT5,1,1,1,1
A7B558,1,1,1,1
A8BB91,0,0,0,0
A8BFK8,0,0,0,0
A8BKD1,0,0,0,0
A8BPK8,1,1,1,1
A8ID55,0,0,0,0
A8JUV4,0,0,0,0
A8NCG7,1,0,1,1
