Accession,UniProt_202402_EC,ECRECer_EC,CLEAN_EC,FEDKEA_v3_EC
A0A1D8PHA3,7.1.1.8,-,7.1.1.8,7.1.1.8
A0A1D8PJX3,7.1.1.8,1.10.2.2,7.1.1.8,7.1.1.8
A3SI50,1.3.99.41,1.3.8.8,"1.3.8.1, 1.3.8.7, 1.3.8.8",1.3.99.41
A8BPK8,2.7.11.21,2.7.11.21,2.7.11.21,2.7.11.21
E5D8F2,2.7.7.48,2.7.7.48,-,3.1.1.5
E7F654,2.7.1.78,2.7.1.-,2.7.1.78,2.7.1.78
F0NID4,3.6.4.12,-,5.6.2.2,3.6.4.12
F1N206,1.8.1.4,1.8.1.4,1.8.1.4,1.8.1.4
O76742,3.6.5.2,-,3.6.5.2,3.6.5.2
P0DX84,6.2.1.44,6.2.1.-,6.2.1.44,6.2.1.44
Q50LE9,1.5.3.24,1.5.3.1,1.5.3.1,1.14.12.17
Q50LF0,1.5.3.24,1.5.3.1,1.5.3.1,1.5.3.24
Q50LF1,1.5.3.24,1.5.3.1,1.5.3.1,1.11.1.6
Q50LF2,1.5.3.24,1.5.3.1,1.5.3.1,1.5.3.24
Q59Y37,1.6.5.2,-,1.6.5.2,1.6.5.2
Q7S8A6,2.1.3.2,6.3.5.5,-,6.3.4.16
Q8IBT4,2.8.1.7,2.8.1.7,2.8.1.7,2.8.1.7
Q8IDQ9,2.1.1.103,2.1.1.-,2.1.1.157,2.1.1.103
Q9V3I2,3.6.5.2,-,3.6.5.2,3.6.5.2
Q9W2R3,2.7.1.68,2.7.1.68,2.7.1.68,2.7.1.68
W8X092,1.17.99.8,1.1.5.4,1.1.1.400,1.3.99.28
W8X9R6,1.17.99.8,1.1.5.4,5.5.1.23,1.3.99.39
A0A1D8PHR5,1.6.5.2,1.6.5.2,1.6.5.2,1.6.5.2
A0A1D8PJ73,7.1.1.2,1.6.99.3,"7.1.1.2, 1.14.16.2",7.1.1.2
A0A1D8PJA8,3.2.1.39,-,"3.2.1.6, 3.2.1.4",3.2.1.39
A0A1D8PT02,1.6.5.2,-,1.6.5.2,1.6.5.2
A0A1D8PT03,1.6.5.2,-,1.6.5.2,1.6.5.2
A0A1D8PU51,7.1.1.2,1.6.99.3,1.7.5.1,7.1.1.2
A0A2I2F2I5,2.2.1.6,2.2.1.6,2.2.1.6,2.2.1.6
A0A2R8QP51,3.4.14.5,3.4.14.5,3.4.14.5,3.4.14.5
A0A509AF62,2.8.1.7,2.8.1.7,2.8.1.7,2.6.1.1
A6K136,3.1.3.16,3.1.3.16,3.1.3.16,3.1.3.16
B2RVI8,2.8.2.2,2.8.2.14,"2.8.2.2, 2.8.2.14",2.8.2.4
G1SPE9,2.3.1.42,2.3.1.42,2.3.1.42,2.3.1.42
P0DX54,2.4.99.23,2.-.-.-,2.4.1.227,2.4.99.23
P0DX85,3.1.1.32,3.1.1.-,"3.1.1.32, 3.1.1.3, 2.3.1.296, 3.1.1.5",3.1.1.32
Q4J834,3.1.21.10,3.1.22.4,3.1.21.10,3.1.21.10
Q4J8L0,3.1.21.10,3.1.22.4,3.1.21.10,3.1.21.10
Q8IBN8,3.6.4.12,3.6.4.-,3.6.4.13,3.6.4.13
Q9ZIT6,2.4.1.58,2.4.1.-,2.4.1.58,2.4.1.73
A0A2I2F2J6,5.5.1.6,-,"1.13.11.69, 1.13.11.70",1.14.13.228
A0A2K8FTN3,2.8.1.7,2.8.1.7,2.8.1.7,2.8.1.7
A0A8M1N5Y4,5.3.4.1,5.3.4.1,5.3.4.1,5.3.4.1
B5T072,2.4.1.343,1.1.1.-,2.4.1.306,2.4.1.306
F0NEL5,3.1.21.10,3.1.22.4,"3.1.21.10, 3.1.21.4",3.1.21.10
F8VPU6,3.4.19.12,3.4.19.12,-,3.6.4.12
I1RDA9,3.1.1.3,3.1.1.3,3.1.1.42,3.1.1.3
I1RHF8,3.1.1.1,3.1.1.3,3.1.1.42,3.1.1.42
I1RIF1,3.1.1.1,3.1.1.3,3.1.1.42,3.1.1.1
O87333,2.4.99.23,2.-.-.-,2.4.1.227,2.4.99.12
Q0P9A8,2.4.99.24,2.-.-.-,2.1.1.176,2.4.1.227
Q47594,2.4.1.349,2.4.-.-,2.4.1.330,2.4.1.378
Q47595,2.4.1.348,2.4.-.-,2.4.1.348,2.4.1.252
Q4D5J7,2.3.1.199,2.3.1.199,2.3.1.199,2.3.1.199
Q4DUK4,2.3.1.199,2.3.1.199,2.3.1.199,2.3.1.199
Q6PBS3,6.1.1.2,6.1.1.2,"6.1.1.2, 6.1.1.1",6.1.1.2
Q7VNA4,2.4.99.24,2.-.-.-,2.1.1.187,2.4.99.24
Q8IJK4,2.8.1.13,-,-,2.3.1.286
Q8NQU4,7.4.2.1,-,7.4.2.1,7.3.2.1
Q8VQ46,2.4.1.341,2.4.1.344,2.4.1.308,2.4.1.308
Q9HUF5,2.4.99.23,2.-.-.-,2.4.1.356,2.4.99.23
Q9P451,3.1.1.3,3.1.1.3,3.1.1.73,3.1.1.73
P0DW68,2.7.13.3,3.1.-.-,3.4.24.83,2.7.7.49
P0DW71,2.7.13.3,-,-,2.7.7.49
P0DX62,2.4.99.24,2.-.-.-,2.1.1.176,2.4.1.227
Q4J8K8,3.6.4.12,-,5.6.2.2,3.6.4.12
