Accession,UniProt_202402_IsEnzyme,ECRECer_IsEnzyme,CLEAN_IsEnzyme,FEDKEA_v3_IsEnzyme
A0A0H2URU9,0,0,1,0
A0A1D5NSM8,0,0,1,0
A0A1D8PFP2,0,0,1,0
A0A1D8PHA3,1,0,1,1
A0A1D8PJX3,1,1,1,1
A0A1D8PN96,0,0,1,0
A0A1D8PNR5,0,0,1,0
A0A1D8PS71,1,1,1,1
A0A1D8PTL7,0,0,1,0
A0A2H1A768,0,0,1,0
A0A644F0Y1,0,0,1,0
A3SI50,1,1,1,1
A6YQT5,0,1,1,1
A8BKD1,0,0,1,0
A8BPK8,1,1,1,1
A8ID55,0,0,1,0
A8PUY1,1,1,1,1
B6T5Z6,0,0,1,0
C5I9W9,0,0,1,0
D3ZID8,0,0,1,0
D4A1X2,1,1,1,1
E2RTQ2,0,0,1,0
E2RU10,0,0,1,0
E5D8F2,1,1,1,1
E7F654,1,1,1,1
F0NID4,1,0,1,0
F1N206,1,1,1,1
F1SVH1,1,1,1,1
M4QN28,0,1,1,1
M5AAG8,1,1,1,0
N0A3C0,1,1,1,1
O54581,0,0,1,1
O76742,1,0,1,0
P0DX82,1,0,1,0
P0DX84,1,1,1,1
P0DX86,1,1,1,1
Q0E9H9,0,0,1,0
Q3UL53,0,0,1,0
Q50LE9,1,1,1,1
Q50LF0,1,1,1,1
Q50LF1,1,1,1,1
Q50LF2,1,1,1,1
Q57UP6,1,1,1,1
Q57UP7,1,1,1,1
Q57UP8,1,1,1,1
Q57X51,1,1,1,1
Q59Y37,1,0,1,0
Q5ACU9,0,0,1,0
Q6DFZ1,0,0,1,0
Q6IDA6,0,0,1,0
Q6YNE9,1,1,1,1
Q7S8A6,1,1,1,1
Q7S9V5,1,1,1,1
Q7SH52,1,1,1,1
Q7Y3F1,1,0,1,1
Q7Y3F3,0,0,1,0
Q834B6,0,0,1,0
Q887C9,0,0,1,1
Q8DN88,0,0,1,0
Q8I0U8,0,0,1,0
Q8I5I0,0,0,1,0
Q8I6U4,1,1,1,1
Q8I6U5,1,1,1,1
Q8IBT4,1,1,1,1
Q8IDQ9,1,1,1,1
Q8IIL0,1,1,1,1
Q8ILW0,1,0,1,0
Q8IPW2,0,0,1,0
Q8RWI0,0,0,1,0
Q8RXP7,0,0,1,0
Q969B0,0,0,1,0
Q9V3I2,1,0,1,0
Q9V9M8,0,0,1,0
Q9V9N4,0,0,1,0
Q9VDG5,0,0,1,0
Q9VFF3,1,1,1,1
Q9VR38,0,0,1,0
Q9VRX1,0,0,1,0
Q9VWC6,0,0,1,0
Q9W2R3,1,1,1,1
W7FI62,0,0,1,0
W8X092,1,1,1,1
W8X9R6,1,1,1,1
A0A1D8PDB5,0,0,1,0
A0A1D8PHA2,0,0,1,0
A0A1D8PHR5,1,1,1,1
A0A1D8PJ73,1,1,1,1
A0A1D8PJA8,1,0,1,1
A0A1D8PLP3,0,0,1,0
A0A1D8PMR6,0,0,1,0
A0A1D8PP59,0,0,1,0
A0A1D8PT02,1,0,1,1
A0A1D8PT03,1,0,1,1
A0A1D8PU51,1,1,1,1
A0A2I2F2I5,1,1,1,1
A0A2I2F2N6,1,1,1,1
A0A2R8QP51,1,1,1,1
A0A3G2S5J6,1,1,1,1
A0A481NSZ4,0,0,1,0
A0A509AF62,1,1,1,1
A0A509APV9,1,1,1,0
A0A644F7M7,0,0,1,0
A0A853PXE5,1,1,1,1
A0A8X6EH27,0,0,1,0
A6K136,1,1,1,1
A8BB91,0,0,1,0
A8BFK8,0,0,1,0
A8PUY5,1,1,1,1
A8QCW4,1,1,1,1
B2RVI8,1,1,1,1
D2SNF7,1,0,1,1
F8VPJ6,0,0,1,0
G0S2A3,0,0,1,0
G0SAN7,0,0,1,0
G1SPE9,1,1,1,1
G3X9P6,0,0,1,0
I1RPD9,1,1,1,1
O83033,1,0,1,1
O96155,0,0,1,0
P0DX54,1,1,1,1
P0DX76,0,0,1,0
P0DX83,1,1,1,1
P0DX85,1,1,1,1
P0DX87,1,0,1,1
P9WEM6,1,1,1,1
Q2VG90,1,1,1,1
Q3UT54,0,0,1,0
Q47593,0,1,1,1
Q4J834,1,1,1,1
Q4J8L0,1,1,1,1
Q4KL20,0,0,1,0
Q4WTC0,0,0,1,0
Q57ZC7,0,1,1,1
Q5ABS1,0,0,1,0
Q5XTQ4,0,1,1,1
Q74M79,1,0,1,1
Q74MA4,1,1,1,1
Q77M42,0,0,1,0
Q77WP1,1,0,1,1
Q79FC3,0,0,1,0
Q7A2C5,0,0,1,0
Q89Y83,0,1,1,1
Q8IAX8,0,0,1,0
Q8IBN8,1,1,1,1
Q8IDN4,0,0,1,0
Q8T8S1,0,0,1,0
Q8TYK7,1,1,1,1
