Accession,First,FirstProbability,Second,SecondProbability,Third,ThirdProbability,Fourth,FourthProbability,FinalResult
NP_384885,1,0.9995115995407104,8,0.2510794699192047,0,0.5319272875785828,1.8.7.3,0.6633100722876256,1.8.7.3
WP_014881125,1,0.999000608921051,8,0.21160344779491425,0,0.5659708380699158,1.8.7.3,0.6626959271391321,1.8.7.3
WP_054597491,2,0.9999010562896729,3,0.9321394562721252,1,0.5822601318359375,2.3.1.9,0.6665084811090578,2.3.1.9
WP_066580460,2,0.9828696846961975,4,0.8912772536277771,1,0.6747329831123352,2.4.1.19,1.0,2.4.1.19
NP_384306,2,0.9998441934585571,7,0.9026142358779907,1,0.8290032744407654,2.7.1.2,0.66586788196485,2.7.1.2
NP_437492,2,0.9994938373565674,7,0.8688521981239319,1,0.9284966588020325,2.7.1.101,0.40509352982253105,2.7.1.101
NP_719054,2,0.9997592568397522,7,0.9067294001579285,1,0.8723929524421692,2.7.1.60,0.637917727124812,2.7.1.60
WP_011717945,2,0.9996508359909058,7,0.9068166613578796,1,0.8859007954597473,2.7.1.60,0.6348319221626764,2.7.1.60
WP_011864920,2,0.9997496008872986,7,0.8953441977500916,1,0.8386908769607544,2.7.1.2,0.636763348758669,2.7.1.2
NP_384741,2,0.9986135959625244,7,0.7504440546035767,1,0.773408055305481,2.7.1.16,0.6607444102803246,2.7.1.16
WP_011759060,2,0.9997579455375671,7,0.9060264229774475,1,0.8371586203575134,2.7.1.59,0.35665741594923134,2.7.1.59
WP_011759520,2,0.9998040795326233,7,0.9031074047088623,1,0.9018911719322205,2.7.1.55,0.3503563321915762,2.7.1.55
WP_011760344,2,0.999024510383606,7,0.8962244391441345,1,0.8611730337142944,2.7.1.55,0.34599775605186855,2.7.1.55
WP_014880980,2,0.999754011631012,7,0.8516989946365356,1,0.7654551267623901,2.7.1.2,0.33700448169672215,2.7.1.2
WP_012179094,2,0.9990012049674988,7,0.795442521572113,1,0.7745112776756287,2.7.1.47,0.3368789799646819,2.7.1.47
WP_003280093,2,0.9753527641296387,8,0.7386464476585388,0,0.8250159621238708,2.8.3.8,0.6647540802307441,2.8.3.8
WP_003294550,2,0.9993593096733093,8,0.7480118870735168,0,0.8661127686500549,2.8.3.5,0.6834779995905996,2.8.3.5
WP_060739786,2,0.9989898800849915,8,0.9347368478775024,0,0.7601617574691772,2.8.3.13,0.6486274137645816,2.8.3.13
WP_011717064,3,0.9968365430831909,1,0.7517317533493042,1,0.5525723099708557,3.1.1.15,0.3646273478088579,3.1.1.15
WP_060741243,3,0.9970908164978027,1,0.6160398125648499,1,0.5684618949890137,3.1.1.15,0.3628721723051007,3.1.1.15
WP_010211216,3,0.9962726831436157,1,0.7568740248680115,1,0.5315647721290588,3.1.1.15,0.36733829468240636,3.1.1.15
WP_054597487,3,0.9954356551170349,1,0.665070652961731,2,0.5561643242835999,3.1.2.4,1.0,3.1.2.4
WP_010210414,3,0.996800422668457,1,0.6950342059135437,2,0.524562418460846,3.1.2.4,1.0,3.1.2.4
WP_011760212,3,0.999502420425415,1,0.9117778539657593,3,0.690354585647583,3.1.3.5,0.4096364437980816,3.1.3.5
WP_066581977,3,0.9973964691162109,2,0.9777795076370239,1,0.7715613842010498,3.2.1.26,0.6627703421187898,3.2.1.26
WP_054596656,3,0.9972057938575745,2,0.7961742281913757,2,0.7145846486091614,3.2.2.8,0.6846935935094294,3.2.2.8
NP_384521,3,0.9994571805000305,2,0.7755676507949829,2,0.8409503102302551,3.2.2.8,1.0,3.2.2.8
WP_060738180,3,0.9976146221160889,2,0.7561296224594116,2,0.7362813949584961,3.2.2.8,0.6846845602083,3.2.2.8
WP_063340417,3,0.9967232346534729,2,0.7508812546730042,2,0.7344385981559753,3.2.2.8,0.6848293592982961,3.2.2.8
NP_436855,3,0.998494029045105,5,0.623055100440979,0,0.5456574559211731,3.5.5.1,1.0,3.5.5.1
WP_011760753,3,0.8705624938011169,5,0.7355106472969055,1,0.3857652246952057,3.5.1.94,0.7745203094922748,3.5.1.94
WP_060740343,3,0.9998268485069275,5,0.8793036937713623,1,0.5412928462028503,3.5.1.53,0.6661216626061338,3.5.1.53
WP_054598124,3,0.9161247611045837,5,0.871178925037384,1,0.4788423180580139,3.5.1.94,0.8065813545096863,3.5.1.94
WP_086936699,3,0.9569704532623291,5,0.8142006993293762,1,0.42413637042045593,3.5.1.94,0.7820399212417425,3.5.1.94
WP_060740154,3,0.9454362392425537,5,0.8149296641349792,1,0.4134213328361511,3.5.1.94,0.7793426247718018,3.5.1.94
WP_060741122,3,0.998594343662262,5,0.8279978632926941,1,0.6831498146057129,3.5.1.n3,1.0,3.5.1.n3
WP_054597481,3,0.9993483424186707,5,0.95973140001297,3,0.5935068726539612,3.5.3.12,0.6607713851399685,3.5.3.12
WP_014880051,3,0.9966855645179749,5,0.9520456194877625,3,0.4237715005874634,3.5.3.18,0.6777663886265338,3.5.3.18
WP_010209327,3,0.9990453124046326,5,0.9426244497299194,3,0.500263512134552,3.5.3.18,0.6673745926886988,3.5.3.18
WP_063321988,4,0.9990986585617065,1,0.5353545546531677,1,0.4964408874511719,4.1.1.96,0.33715346172837624,4.1.1.96
WP_010210955,4,0.9990556836128235,1,0.48797497153282166,1,0.5153312683105469,4.1.1.20,0.3360260838607144,4.1.1.20
WP_057714593,4,0.9991852641105652,1,0.530758798122406,1,0.48867490887641907,4.1.1.20,0.3395098406949547,4.1.1.20
WP_054596807,4,0.9994206428527832,1,0.5376383066177368,1,0.49885809421539307,4.1.1.20,0.6631967549053667,4.1.1.20
WP_060738105,4,0.9994124174118042,1,0.5307214856147766,1,0.4920458495616913,4.1.1.20,0.661589804857489,4.1.1.20
WP_014879336,4,0.9913539290428162,1,0.7259100675582886,2,0.5051243305206299,4.1.2.57,0.3398341332420704,4.1.2.57
WP_012426462,4,0.9997963309288025,1,0.3801896870136261,2,0.5467022061347961,4.1.2.45,0.6758832616307991,4.1.2.45
NP_437726,4,0.9643813967704773,2,0.6476569175720215,1,0.5712255835533142,4.2.1.141,0.7042023681631994,4.2.1.141
NP_384124,4,0.7758756875991821,2,0.43232694268226624,1,0.7181000113487244,4.2.1.42,0.6524919305174571,4.2.1.42
WP_063462980,4,0.9998471736907959,2,0.4763507843017578,1,0.7045514583587646,4.2.1.41,0.5377320466463046,4.2.1.41
WP_041412631,4,0.9994773268699646,2,0.6111312508583069,1,0.6495094895362854,4.2.1.12,1.0,4.2.1.12
WP_063343491,4,0.9933122992515564,2,0.6691204905509949,1,0.645690381526947,4.2.1.141,0.7123525952868887,4.2.1.141
WP_057715016,4,0.9916935563087463,2,0.6504742503166199,1,0.6212042570114136,4.2.1.141,0.7151319460906215,4.2.1.141
NP_437724,4,0.9997273087501526,2,0.7662764191627502,1,0.8347418308258057,4.2.1.82,0.3682439692036225,4.2.1.82
WP_010211220,4,0.9994052648544312,2,0.7518230080604553,1,0.7103034257888794,4.2.1.12,1.0,4.2.1.12
WP_060741991,4,0.9851705431938171,2,0.6864746809005737,1,0.6320362687110901,4.2.1.141,0.7095721683235905,4.2.1.141
WP_063320756,4,0.9865162372589111,2,0.6858653426170349,1,0.6411380171775818,4.2.1.141,0.7103513842586406,4.2.1.141
WP_012434865,4,0.997765064239502,2,0.8031237125396729,1,0.7370038628578186,4.2.1.12,0.6693638625855471,4.2.1.12
WP_060741989,4,0.9994086027145386,2,0.7514886260032654,1,0.7059730291366577,4.2.1.12,1.0,4.2.1.12
WP_038453710,5,0.9974732995033264,1,0.362277626991272,3,0.674360990524292,5.1.3.8,1.0,5.1.3.8
WP_063460136,5,0.9979445338249207,1,0.5312946438789368,3,0.6794208288192749,5.1.3.8,1.0,5.1.3.8
NP_437227,5,0.9993653893470764,1,0.5794087052345276,3,0.8255658745765686,5.1.3.32,1.0,5.1.3.32
WP_011758678,5,0.996682345867157,1,0.5012422204017639,3,0.7260904908180237,5.1.3.11,0.6796870742750586,5.1.3.11
WP_014880077,5,0.9908979535102844,1,0.3661952614784241,3,0.6419627666473389,5.1.3.8,0.6662924234798181,5.1.3.8
WP_012431492,5,0.9984638690948486,1,0.49656397104263306,3,0.7352484464645386,5.1.3.8,1.0,5.1.3.8
WP_011717048,5,0.9990087151527405,1,0.6354520916938782,3,0.5741817951202393,5.1.3.15,0.6605736500980469,5.1.3.15
WP_014340747,6,0.9973763227462769,3,0.7609735727310181,1,0.6415446996688843,6.3.1.2,0.671871088336821,6.3.1.2
WP_010207341,6,0.9973567724227905,3,0.7562963962554932,1,0.7115811109542847,6.3.1.2,0.6593445535955608,6.3.1.2
WP_054594538,6,0.9974143505096436,3,0.7579421997070312,1,0.6830142736434937,6.3.1.2,1.0,6.3.1.2
WP_053163627,6,0.9968838095664978,3,0.7556645274162292,1,0.698026716709137,6.3.1.2,1.0,6.3.1.2
WP_007897683,6,0.9965877532958984,3,0.7605926990509033,1,0.6974459886550903,6.3.1.2,1.0,6.3.1.2
WP_012426550,6,0.9951180219650269,3,0.846620500087738,1,0.7016091346740723,6.3.1.18,0.3762124672199311,6.3.1.18
WP_025216023,6,0.9975293278694153,3,0.7609902620315552,1,0.7011910676956177,6.3.1.2,0.6568048712287143,6.3.1.2
WP_015278495,1,0.9992252588272095,0,0.23667968809604645,1.12.1.4,0.3634970606105472,0,0.0,1.12.1.4
WP_043349430,1,0.9985551238059998,0,0.28756847977638245,1.12.1.4,0.35056030232018204,0,0.0,1.12.1.4
WP_012428705,1,0.9977530837059021,1,0.28586098551750183,1.1.1.107,0.4206237835389688,0,0.0,1.1.1.107
WP_063324031,1,0.9998090863227844,1,0.5711705088615417,1.1.1.108,1.0,0,0.0,1.1.1.108
WP_010209382,1,0.9994407296180725,1,0.49168533086776733,1.1.1.203,0.7197328947244177,0,0.0,1.1.1.203
WP_063343423,1,0.9993345141410828,1,0.552897572517395,1.1.1.203,0.7259642939417975,0,0.0,1.1.1.203
WP_012434361,1,0.9998847246170044,1,0.4950353801250458,1.1.1.233,0.33904593086940216,0,0.0,1.1.1.233
WP_063462990,1,0.9996887445449829,1,0.44381624460220337,1.1.1.233,0.33659084901253855,0,0.0,1.1.1.233
NP_384734,1,0.9985264539718628,1,0.153211310505867,1.1.1.262,1.0,0,0.0,1.1.1.262
WP_010209291,1,0.9999196529388428,1,0.6339274644851685,1.1.1.287,0.3404744128248699,0,0.0,1.1.1.287
WP_012434194,1,0.9999014139175415,1,0.6122527122497559,1.1.1.301,0.3428965356784109,0,0.0,1.1.1.301
WP_014879948,1,0.9993876218795776,1,0.4769239127635956,1.1.1.31,0.6905596589332649,0,0.0,1.1.1.31
NP_437228,1,0.9998884201049805,1,0.5402679443359375,1.1.1.312,0.34348626130744503,0,0.0,1.1.1.312
WP_012179101,1,0.9990884065628052,1,0.13880982995033264,1.1.1.37,0.3387734432422082,0,0.0,1.1.1.37
WP_014879339,1,0.9967350363731384,1,0.4120754301548004,1.1.1.424,0.3486372263251324,0,0.0,1.1.1.424
NP_436856,1,0.9974149465560913,1,0.3987676203250885,1.1.1.424,0.34763744297670135,0,0.0,1.1.1.424
WP_066578892,1,0.9998290538787842,1,0.3780076205730438,1.1.1.435,0.34269425587435204,0,0.0,1.1.1.435
WP_057713727,1,0.9993211030960083,1,0.5995410680770874,1.1.1.47,0.3378244069263879,0,0.0,1.1.1.47
WP_063341172,1,0.9993911981582642,1,0.6138089895248413,1.1.1.47,0.3416140025881825,0,0.0,1.1.1.47
WP_063324926,1,0.9992818236351013,1,0.6133027672767639,1.1.1.47,0.33670387222321524,0,0.0,1.1.1.47
NP_385263,1,0.9962555170059204,1,0.30481719970703125,1.1.1.48,0.36806710057295433,0,0.0,1.1.1.48
NP_384883,1,0.9997656941413879,1,0.21004781126976013,1.1.99.14,0.3400921138455964,0,0.0,1.1.99.14
WP_014881127,1,0.9995631575584412,1,0.22469767928123474,1.1.99.14,0.6911674481840349,0,0.0,1.1.99.14
WP_015278497,1,0.9981381893157959,1,0.2141367793083191,1.1.99.14,0.6835085658858199,0,0.0,1.1.99.14
WP_043349422,1,0.9994926452636719,1,0.2663479149341583,1.1.99.14,0.6813958696158503,0,0.0,1.1.99.14
WP_054595050,1,0.9991610050201416,2,0.555009126663208,1.2.1.24,0.3490366261464144,0,0.0,1.2.1.24
WP_010211217,1,0.9997307658195496,2,0.8135979175567627,1.2.1.26,1.0,0,0.0,1.2.1.26
NP_437725,1,0.9989301562309265,2,0.7624107003211975,1.2.1.26,0.6705893607985965,0,0.0,1.2.1.26
