Accession	IsEnzyme	Probability
A0A1D8PHA3	True	0.9915575981140137
A0A1D8PJX3	True	0.9814536571502686
A3SI50	True	0.9999589920043945
A8BPK8	True	0.9992722868919373
E5D8F2	True	0.9886461496353149
E7F654	True	0.9868562817573547
F0NID4	True	0.120029516518116
F1N206	True	0.9880393147468567
O76742	True	0.18291926383972168
P0DX84	True	0.9991376399993896
Q50LE9	True	0.992872953414917
Q50LF0	True	0.993958592414856
Q50LF1	True	0.9986729621887207
Q50LF2	True	0.9923126101493835
Q59Y37	True	0.35081109404563904
Q7S8A6	True	0.9973560571670532
Q8IBT4	True	0.9950944185256958
Q8IDQ9	True	0.9735013842582703
Q9V3I2	True	0.6673403382301331
Q9W2R3	True	0.9861918687820435
W8X092	True	0.9949734210968018
W8X9R6	True	0.9714996218681335
A0A1D8PHR5	True	0.9420059323310852
A0A1D8PJ73	True	0.5924220681190491
A0A1D8PJA8	True	0.9909895658493042
A0A1D8PT02	True	0.6980084180831909
A0A1D8PT03	True	0.7858632206916809
A0A1D8PU51	True	0.9985768795013428
A0A2I2F2I5	True	0.9982292056083679
A0A2R8QP51	True	0.998485267162323
A0A509AF62	True	0.9949254989624023
A6K136	True	0.9984197616577148
B2RVI8	True	0.9960536956787109
G1SPE9	True	0.9997374415397644
P0DX54	True	0.999897837638855
P0DX85	True	0.9831816554069519
Q4J834	True	0.9557501077651978
Q4J8L0	True	0.9955182671546936
Q8IBN8	True	0.9937924742698669
Q9ZIT6	True	0.8892254829406738
A0A2I2F2J6	True	0.835223376750946
A0A2K8FTN3	True	0.9954057931900024
A0A8M1N5Y4	True	0.9288452863693237
B5T072	True	0.9966135621070862
F0NEL5	True	0.9874240756034851
F8VPU6	True	0.8664179444313049
I1RDA9	True	0.998449444770813
I1RHF8	True	0.9974387884140015
I1RIF1	True	0.9776164293289185
O87333	True	0.9983969330787659
Q0P9A8	True	0.9973432421684265
Q47594	True	0.9962050318717957
Q47595	True	0.9892507791519165
Q4D5J7	True	0.9968938827514648
Q4DUK4	True	0.9970767498016357
Q6PBS3	True	0.999929666519165
Q7VNA4	True	0.9983466863632202
Q8IJK4	True	0.952399730682373
Q8NQU4	True	0.702042818069458
Q8VQ46	True	0.9414123296737671
Q9HUF5	True	0.9999288320541382
Q9P451	True	0.9961413741111755
P0DW68	True	0.859362781047821
P0DW71	True	0.5474836826324463
P0DX62	True	0.9976956248283386
Q4J8K8	True	0.06153695657849312
